Date,Close
9/26/2017,63.21
9/27/2017,63.05
9/28/2017,62.88
9/29/2017,62.3
10/2/2017,63.31
10/3/2017,64.33
10/4/2017,64.69
10/5/2017,63.69
10/6/2017,64.1
10/9/2017,64.04
10/10/2017,62.47
10/11/2017,62.68
10/12/2017,62.06
10/13/2017,61.35
10/16/2017,61.43
10/17/2017,63.32
10/18/2017,62.84
10/19/2017,62.92
10/20/2017,63.5
10/23/2017,61.36
10/24/2017,61.67
10/25/2017,61.63
10/26/2017,60.72
10/27/2017,64.19
10/30/2017,63.36
10/31/2017,63.28
11/1/2017,61.83
11/2/2017,62.56
11/3/2017,69.08
11/6/2017,65.49
11/7/2017,63.76
11/8/2017,62.66
11/9/2017,96.65
11/10/2017,96.04
11/13/2017,94.65
11/14/2017,88.25
11/15/2017,85.47
11/16/2017,85.67
11/17/2017,85.68
11/20/2017,83.89
11/21/2017,89.94
11/22/2017,95.44
11/24/2017,97.71
11/27/2017,96.33
11/28/2017,96.01
11/29/2017,94.15
11/30/2017,92.41
12/1/2017,93.02
12/4/2017,92.66
12/5/2017,89.79
12/6/2017,91.9
12/7/2017,156.27
12/8/2017,167.34
12/11/2017,163.33
12/12/2017,160.44
12/13/2017,164.65
12/14/2017,158.03
12/15/2017,162.32
12/18/2017,164.32
12/19/2017,161.37
12/20/2017,163.44
12/21/2017,155.4
12/22/2017,165.89
12/26/2017,156.14
12/27/2017,164.16
12/28/2017,166.19
12/29/2017,164.71
1/2/2018,166.66
1/3/2018,170.17
1/4/2018,166.44
1/5/2018,169.25
1/8/2018,162.61
1/9/2018,171.01
1/10/2018,177.37
1/11/2018,174.6
1/12/2018,175.86
1/16/2018,168.35
1/17/2018,168.48
1/18/2018,166.71
1/19/2018,169.46
1/22/2018,168.67
1/23/2018,180.53
1/24/2018,180.26
1/25/2018,183.08
1/26/2018,183.47
1/29/2018,184.34
1/30/2018,184.66
1/31/2018,189.8
2/1/2018,192.33
2/2/2018,186.78
2/5/2018,179.19
2/6/2018,179.9
2/7/2018,177.38
2/8/2018,166.05
2/9/2018,152.15
2/12/2018,159.34
2/13/2018,160.1
2/14/2018,164.13
2/15/2018,163.6
2/16/2018,162.37
2/20/2018,163.18
2/21/2018,163.86
2/22/2018,155.4
2/23/2018,164.15
2/26/2018,167.47
2/27/2018,163.26
2/28/2018,161.36
3/1/2018,161.28
3/2/2018,163.33
3/5/2018,168.75
3/6/2018,174.66
3/7/2018,171.73
3/8/2018,169.47
3/9/2018,177.75
3/12/2018,178.65
3/13/2018,173.91
3/14/2018,173.84
3/15/2018,174.05
3/16/2018,172.22
3/19/2018,166.38
3/20/2018,166.45
3/21/2018,166.29
3/22/2018,160.13
3/23/2018,156.23
3/26/2018,163.72
3/27/2018,154.55
3/28/2018,158.81
3/29/2018,161.07
4/2/2018,145.77
4/3/2018,143.38
4/4/2018,146.41
4/5/2018,147.4
4/6/2018,141.32
4/9/2018,156.35
4/10/2018,169.38
4/11/2018,167.02
4/12/2018,169.28
4/13/2018,170.58
4/16/2018,162.95
4/17/2018,168.82
4/18/2018,172.44
4/19/2018,169.67
4/20/2018,148.01
4/23/2018,145.49
4/24/2018,141.19
4/25/2018,140.36
4/26/2018,143.66
4/27/2018,146.83
4/30/2018,143.92
5/1/2018,147.73
5/2/2018,146.6
5/3/2018,148.13
5/4/2018,148.38
5/7/2018,154.76
5/8/2018,157.22
5/9/2018,159.31
5/10/2018,163
5/11/2018,170.62
5/14/2018,172.86
5/15/2018,173.72
5/16/2018,175.33
5/17/2018,165.56
5/18/2018,164.26
5/21/2018,163.09
5/22/2018,164.38
5/23/2018,155.89
5/24/2018,158.17
5/25/2018,155.33
5/29/2018,151.82
5/30/2018,154.54
5/31/2018,154.54
6/1/2018,153.38
6/4/2018,156.22
6/5/2018,154.09
6/6/2018,154.06
6/7/2018,150.02
6/8/2018,148.73
6/11/2018,146.93
6/12/2018,175.76
6/13/2018,169.52
6/14/2018,164.84
6/15/2018,164.94
6/18/2018,162.79
6/19/2018,162.09
6/20/2018,164.95
6/21/2018,161.24
6/22/2018,153.46
6/25/2018,146.84
6/26/2018,154.01
6/27/2018,151.61
6/28/2018,151.85
6/29/2018,156.53
7/2/2018,157.59
7/3/2018,158.57
7/5/2018,158.67
7/6/2018,160.15
7/9/2018,160.42
7/10/2018,163.82
7/11/2018,165.23
7/12/2018,167.79
7/13/2018,168.11
7/16/2018,168.43
7/17/2018,169.04
7/18/2018,168.01
7/19/2018,168.62
7/20/2018,168.56
7/23/2018,168.2
7/24/2018,160.78
7/25/2018,156.09
7/26/2018,152.64
7/27/2018,150.82
7/30/2018,145.29
7/31/2018,144.32
8/1/2018,147.98
8/2/2018,149.4
8/3/2018,145.68
8/6/2018,147.59
8/7/2018,151.2
8/8/2018,146.49
8/9/2018,147.4
8/10/2018,148.36
8/13/2018,149.74
8/14/2018,150.17
8/15/2018,147.05
8/16/2018,149.05
8/17/2018,152.08
8/20/2018,148.23
8/21/2018,153.87
8/22/2018,154.51
8/23/2018,155.47
8/24/2018,153.95
8/27/2018,157.11
8/28/2018,158.48
8/29/2018,163.19
8/30/2018,164.84
8/31/2018,164.26
9/4/2018,164.29
9/5/2018,163.81
9/6/2018,163.49
9/7/2018,160.94
9/10/2018,153.56
9/11/2018,153.78
9/12/2018,149.6
9/13/2018,148.33
9/14/2018,148.37
9/17/2018,145.13
9/18/2018,146.96
9/19/2018,144.83
9/20/2018,147.04
9/21/2018,146.01
9/24/2018,142.63
9/25/2018,138.92
9/26/2018,139.98
9/27/2018,138.11
9/28/2018,141.25
10/1/2018,138.9
10/2/2018,139.28
10/3/2018,139.71
10/4/2018,133.87
10/5/2018,134.23
10/8/2018,134.72
10/9/2018,127.6
10/10/2018,120.25
10/11/2018,119.79
10/12/2018,124.82
10/15/2018,120.25
10/16/2018,124.48
10/17/2018,121.44
10/18/2018,123.83
10/19/2018,122.32
10/22/2018,117.88
10/23/2018,122.68
10/24/2018,113.7
10/25/2018,119.54
10/26/2018,119.71
10/29/2018,117.2
10/30/2018,121.23
10/31/2018,128.68
11/1/2018,137.55
11/5/2018,126.16
11/6/2018,128.26
11/7/2018,129.99
11/8/2018,132.83
11/9/2018,130.94
11/12/2018,121.44
11/13/2018,109.03
11/14/2018,108.05
11/15/2018,111.88
11/16/2018,114.21
11/19/2018,109.7
11/20/2018,107.39
11/21/2018,108.43
11/23/2018,111.78
11/26/2018,112.7
11/27/2018,103.41
11/28/2018,110.03
